record_id,source_table,webcam_id,image_url,llm_quality,llm_is_sunset,llm_is_sunrise,llm_confidence,llm_has_clouds,llm_color_palette,llm_obstruction,llm_time_of_day,llm_sky_coverage,llm_rating_explanation,llm_model,llm_provider,rated_at,human_calculated_rating,human_rating_count
21,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/48817031007.jpg,0.78,True,False,0.85,False,"Deep orange, amber, and pink gradient fading to purple-gray",,golden_hour,full,"Rich golden-orange sky with beautiful gradient and sparkling water reflections, though lacking dramatic cloud formations.",claude-sonnet-4-5,anthropic,2026-05-12T20:44:23.467414+00:00,,0
22,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/26628513031.jpg,0.72,True,False,0.75,False,warm golden orange and amber tones,,golden_hour,full,"Vivid golden-orange sky with clear sun reflection on calm water, though lacking dramatic clouds for higher impact.",claude-sonnet-4-5,anthropic,2026-05-12T20:44:31.989654+00:00,,0
23,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/49231645551.jpg,0.45,True,False,0.75,True,"Muted purple, pink, and golden tones with dark blue-gray clouds",,blue_hour,full,"Modest twilight colors with some pink and gold on the horizon, but mostly dominated by dark gray clouds limiting the vibrancy.",claude-sonnet-4-5,anthropic,2026-05-12T20:44:41.651740+00:00,,0
24,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/49801397998.jpg,0.88,True,False,0.92,True,"Deep orange, amber, and gold with dark dramatic clouds",,golden_hour,full,"Spectacular sunset with dramatic dark clouds silhouetted against vibrant orange sky, perfectly reflected in calm water below.",claude-sonnet-4-5,anthropic,2026-05-12T20:44:50.682837+00:00,,0
25,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/43512730710.jpg,0.88,True,False,0.85,True,"Purple, blue, orange, and pink gradient with golden tones",,golden_hour,full,"Spectacular sunset with dramatic wispy clouds painted in vibrant purples, oranges, and pinks stretching across the entire expansive sky above the vineyard.",claude-sonnet-4-5,anthropic,2026-05-12T20:44:59.299366+00:00,,0
26,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/30508968460.jpg,0.88,True,False,0.85,True,"Deep orange, coral pink, golden yellow with gray-blue clouds",,golden_hour,full,"Spectacular sunset with dramatic textured clouds illuminated in vibrant orange, coral, and gold across the entire sky.",claude-sonnet-4-5,anthropic,2026-05-12T20:45:08.235967+00:00,,0
27,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/3726563692.jpg,0.75,True,False,0.85,False,"Deep orange, amber, and golden yellow transitioning to darker tones",,golden_hour,full,"Vivid orange and golden sunset over ocean with clear sky gradient and silhouetted bird, creating a striking composition.",claude-sonnet-4-5,anthropic,2026-05-12T20:45:17.362761+00:00,,0
28,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/52973101298.jpg,0.72,True,False,0.85,True,"Orange, peach, gray, and muted gold with dramatic dark clouds",,golden_hour,full,Dramatic cloud formations with golden-orange sun reflection on water and striking light rays breaking through storm clouds create a compelling sunset scene.,claude-sonnet-4-5,anthropic,2026-05-12T20:45:26.617979+00:00,,0
29,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/51277475741.jpg,0.88,True,False,0.92,True,"vibrant orange, golden yellow, and blue-gray",,golden_hour,full,"Spectacular sunset with dramatic swirling clouds painted in rich golden and orange hues across the entire sky, reflected beautifully in the water.",claude-sonnet-4-5,anthropic,2026-05-12T20:45:35.496679+00:00,,0
30,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/27653372614.jpg,0.88,True,False,0.92,True,"Deep orange, amber, and red with dark silhouettes",,golden_hour,full,Spectacular golden-orange sky with dramatic cloud formations and perfect silhouettes creating a stunning composition across the entire frame.,claude-sonnet-4-5,anthropic,2026-05-12T20:45:44.300440+00:00,,0
